label	id	candy_no	area	cm2	circ	ar	round	solid
ID_52_22.jpg	id_52	22	5721	0.836288079	0.563	2.881	0.347	0.947
ID_18_15.jpg	id_18	15	5964	0.871809492	0.824	1.451	0.689	0.973
ID_52_12.jpg	id_52	12	7036	1.028513009	0.697	2.242	0.446	0.97
ID_52_14.jpg	id_52	14	7239	1.058187276	0.663	2.267	0.441	0.954
ID_52_07.jpg	id_52	7	7383	1.079237002	0.714	2.197	0.455	0.962
ID_71_10.jpg	id_71	10	7433	1.086545935	0.828	1.579	0.633	0.973
ID_64_01.jpg	id_64	1	7448	1.088738614	0.88	1.065	0.939	0.975
ID_18_07.jpg	id_18	7	7533	1.1011638	0.826	1.496	0.669	0.976
ID_64_30.jpg	id_64	30	7584	1.108618911	0.881	1.179	0.848	0.977
ID_18_16.jpg	id_18	16	7610	1.112419556	0.894	1.21	0.827	0.981
ID_64_02.jpg	id_64	2	7688	1.123821491	0.901	1.037	0.964	0.983
ID_52_04.jpg	id_52	4	7733	1.130399531	0.712	2.171	0.461	0.967
ID_52_16.jpg	id_52	16	7740	1.131422781	0.692	2.333	0.429	0.969
ID_52_28.jpg	id_52	28	7787	1.138293178	0.668	2.482	0.403	0.967
ID_74_06.jpg	id_74	6	7829	1.144432681	0.228	1.331	0.752	0.924
ID_64_03.jpg	id_64	3	7847	1.147063897	0.863	1.149	0.87	0.968
ID_71_08.jpg	id_71	8	7907	1.155834616	0.798	1.473	0.679	0.964
ID_18_06.jpg	id_18	6	7909	1.156126974	0.865	1.311	0.763	0.978
ID_52_29.jpg	id_52	29	7921	1.157881118	0.711	2.313	0.432	0.978
ID_52_33.jpg	id_52	33	7933	1.159635261	0.717	1.999	0.5	0.956
ID_35_23.jpg	id_35	23	7954	1.162705013	0.791	1.334	0.75	0.952
ID_52_23.jpg	id_52	23	8010	1.170891018	0.721	2.269	0.441	0.975
ID_71_23.jpg	id_71	23	8019	1.172206626	0.829	1.541	0.649	0.972
ID_52_08.jpg	id_52	8	8034	1.174399305	0.686	2.37	0.422	0.961
ID_71_07.jpg	id_71	7	8145	1.190625136	0.811	1.673	0.598	0.977
ID_71_13.jpg	id_71	13	8214	1.200711463	0.838	1.467	0.681	0.976
ID_64_21.jpg	id_64	21	8253	1.206412431	0.905	1.088	0.919	0.984
ID_18_02.jpg	id_18	2	8255	1.206704788	0.866	1.304	0.767	0.977
ID_52_11.jpg	id_52	11	8264	1.208020396	0.718	2.175	0.46	0.968
ID_71_25.jpg	id_71	25	8283	1.21079779	0.83	1.538	0.65	0.977
ID_71_11.jpg	id_71	11	8341	1.219276152	0.841	1.392	0.719	0.975
ID_74_05.jpg	id_74	5	8368	1.223222976	0.288	1.295	0.772	0.924
ID_71_17.jpg	id_71	17	8371	1.223661512	0.835	1.371	0.729	0.97
ID_71_03.jpg	id_71	3	8426	1.231701338	0.807	1.564	0.639	0.972
ID_64_26.jpg	id_64	26	8435	1.233016946	0.903	1.015	0.985	0.983
