 	ID	Label	Color	Area	cm2	Mean	StdDev	Mode	Min	Max	Circ.	Slice	AR	Round	Solidity	MinThr	MaxThr
1	ID_01	0001-0747	Red	22844	3.569375	153.4	30.9	190	78	200	0.7	1	1.1	0.9	0.9	0	255
2	ID_01	0002-0765	Red	24426	3.8165625	149.3	30.1	190	74	203	0.6	1	1.1	0.9	0.9	0	255
3	ID_01	0003-0803	Red	25849	4.03890625	146.9	30.3	189	74	205	0.6	1	1.2	0.8	0.9	0	255
4	ID_01	0004-0818	Red	25241	3.94390625	144.4	31	176	65	195	0.6	1	1.2	0.9	0.9	0	255
5	ID_01	0005-1242	Red	25038	3.9121875	112.1	16.5	126	66	147	0.6	1	1.1	0.9	0.9	0	255
6	ID_01	0006-1239	Red	23002	3.5940625	111.7	14.8	122	60	159	0.7	1	1.1	0.9	0.9	0	255
7	ID_01	0007-1252	Red	24799	3.87484375	115.7	15.9	122	74	161	0.7	1	1.1	0.9	0.9	0	255
8	ID_01	0008-1255	Red	21627	3.37921875	110.2	14.7	117	65	157	0.7	1	1.1	0.9	0.9	0	255
9	ID_01	0009-1640	Red	22181	3.46578125	153.6	27.6	190	94	197	0.7	1	1.1	0.9	0.9	0	255
10	ID_01	0010-1648	Red	22755	3.55546875	148.1	31.3	182	81	199	0.7	1	1.1	0.9	0.9	0	255
11	ID_01	0011-1693	Red	24385	3.81015625	148.7	29.5	185	82	200	0.7	1	1.1	0.9	0.9	0	255
12	ID_01	0012-1706	Red	23726	3.7071875	149.8	27.8	184	93	203	0.6	1	1.1	0.9	0.9	0	255
13	ID_01	0013-2019	Red	23666	3.6978125	147.1	32.6	187	78	198	0.7	1	1.1	0.9	0.9	0	255
14	ID_01	0014-2030	Red	23300	3.640625	147.1	27.5	175	83	193	0.6	1	1.1	0.9	0.9	0	255
15	ID_01	0015-2042	Red	23734	3.7084375	148.3	30	179	85	197	0.6	1	1.1	0.9	0.9	0	255
16	ID_01	0016-2043	Red	23992	3.74875	150.5	27.3	183	78	198	0.7	1	1.1	0.9	0.9	0	255
17	ID_01	0001-0747	Green	22844	3.569375	135	33.1	174	58	184	0.7	2	1.1	0.9	0.9	0	255
18	ID_01	0002-0765	Green	24426	3.8165625	131.2	32.3	174	60	183	0.6	2	1.1	0.9	0.9	0	255
19	ID_01	0003-0803	Green	25849	4.03890625	128.6	32.5	174	55	182	0.6	2	1.2	0.8	0.9	0	255
20	ID_01	0004-0818	Green	25241	3.94390625	126.3	33.2	172	52	180	0.6	2	1.2	0.9	0.9	0	255
21	ID_01	0005-1242	Green	25038	3.9121875	103.4	19.3	88	53	146	0.6	2	1.1	0.9	0.9	0	255
22	ID_01	0006-1239	Green	23002	3.5940625	104.2	17.8	121	53	157	0.7	2	1.1	0.9	0.9	0	255
23	ID_01	0007-1252	Green	24799	3.87484375	106.6	19.1	101	56	157	0.7	2	1.1	0.9	0.9	0	255
24	ID_01	0008-1255	Green	21627	3.37921875	103.8	16.5	94	58	155	0.7	2	1.1	0.9	0.9	0	255
25	ID_01	0009-1640	Green	22181	3.46578125	118.7	21.1	148	64	156	0.7	2	1.1	0.9	0.9	0	255
26	ID_01	0010-1648	Green	22755	3.55546875	115.7	25.4	144	57	161	0.7	2	1.1	0.9	0.9	0	255
27	ID_01	0011-1693	Green	24385	3.81015625	114.4	22.4	142	60	156	0.7	2	1.1	0.9	0.9	0	255
28	ID_01	0012-1706	Green	23726	3.7071875	113.7	20.6	142	47	156	0.6	2	1.1	0.9	0.9	0	255
29	ID_01	0013-2019	Green	23666	3.6978125	128.5	33.1	169	65	180	0.7	2	1.1	0.9	0.9	0	255
30	ID_01	0014-2030	Green	23300	3.640625	128.8	28.7	159	65	178	0.6	2	1.1	0.9	0.9	0	255
31	ID_01	0015-2042	Green	23734	3.7084375	130.3	31.2	168	62	181	0.6	2	1.1	0.9	0.9	0	255
32	ID_01	0016-2043	Green	23992	3.74875	131.5	27.9	164	47	183	0.7	2	1.1	0.9	0.9	0	255
33	ID_01	0001-0747	Blue	22844	3.569375	118.3	36.1	164	34	174	0.7	3	1.1	0.9	0.9	0	255
34	ID_01	0002-0765	Blue	24426	3.8165625	115.5	36.5	156	39	175	0.6	3	1.1	0.9	0.9	0	255
35	ID_01	0003-0803	Blue	25849	4.03890625	110.9	36.4	160	37	170	0.6	3	1.2	0.8	0.9	0	255
36	ID_01	0004-0818	Blue	25241	3.94390625	109.8	36.9	153	35	166	0.6	3	1.2	0.9	0.9	0	255
37	ID_01	0005-1242	Blue	25038	3.9121875	102.2	30.8	138	38	158	0.6	3	1.1	0.9	0.9	0	255
38	ID_01	0006-1239	Blue	23002	3.5940625	107.1	29.6	137	48	171	0.7	3	1.1	0.9	0.9	0	255
39	ID_01	0007-1252	Blue	24799	3.87484375	104.6	30.6	77	43	171	0.7	3	1.1	0.9	0.9	0	255
40	ID_01	0008-1255	Blue	21627	3.37921875	108.5	27.1	129	48	169	0.7	3	1.1	0.9	0.9	0	255
41	ID_01	0009-1640	Blue	22181	3.46578125	97.3	20.2	123	41	134	0.7	3	1.1	0.9	0.9	0	255
42	ID_01	0010-1648	Blue	22755	3.55546875	94.3	25	126	36	142	0.7	3	1.1	0.9	0.9	0	255
43	ID_01	0011-1693	Blue	24385	3.81015625	92.3	22.3	120	39	134	0.7	3	1.1	0.9	0.9	0	255
