id	name	company	class	serving_size_g	calories	calories_fat	total_fat_g	saturated_fat_g	cholesterol_mg	sodium_mg	total_carb_g	dietary_fiber_g	sugars_g	protein_g	primary_ingredient
id_1	mini_eggs	cadbury	chocolate	40	190	70	8	5	5	30	28	0.5	27	2	chocolate
id_2	soft_eating_liquorice	darrell_lea	liquorice	42	140	10	1	0	0	40	30	0	16	1	syrup
id_3	raspberries	haribo	sugar	39	140	0	0	0	0	0	36	0	29	1	sugar
id_4	candy_corn	nice	gummi	41	160	160	0	0	0	75	39	0	32	0	sugar
id_5	crawlers_minis	trolli	sour	40	130	0	0	0	0	35	31	0	24	1	syrup
id_6	strawberry_shortcake_mms	mars	chocolate	42	210	100	10	6	5	40	29	0	28	2	chocolate
id_7	milk_chocolate	hershey	chocolate	43	210	110	13	7	5	35	26	2	22	3	sugar
id_8	milk_duds	hershey	chocolate	39	170	60	6	3.5	0	105	27	0	20	0.5	syrup
id_9	marshmallow_chicks	just_born	sugar	42	140	0	0	0	0	15	36	0	34	1	sugar
id_10	crazy_beans_starburst	wrigley	jelly_bean	40	130	0	0	0	0	0	33	0	26	0	sugar
id_11	creme_egg	cadbury	chocolate	34	150	50	6	4	2.5	15	24	0	20	2	chocolate
id_12	mms_eggs	mars	chocolate	42	210	80	9	5	5	30	30	1	27	2	chocolate
id_13	gold_bears	haribo	gummi	39	140	0	0	0	0	0	31	0	21	3	syrup
id_14	original_skittles	wrigley	sugar	40	160	15	1.5	1.5	0	10	37	0	30	0	sugar
id_15	crawlers_sour_brite	trolli	sour	40	130	0	0	0	0	35	31	0	24	1	syrup
id_16	reeses_pieces	hershey	peanut_butter	40	200	80	9	8	0	45	25	1	21	4	sugar
id_17	milky_way_caramel	mars	chocolate	22	100	40	4.5	3	5	25	15	0	13	1	chocolate
id_18	raisinets	nestle	chocolate	45	190	70	8	5	5	15	32	1	28	2	chocolate
id_19	circus_peanuts	nice	sugar	38	150	0	0	0	0	10	38	0	35	0	sugar
id_20	sweet_and_sour_starburst	wrigley	jelly_bean	40	140	0	0	0	0	10	34	0	27	0	sugar
id_21	reeses_peanut_butter_cup	reeses	peanut_butter	43	220	110	13	5	2.5	150	24	2	22	5	chocolate
id_22	whoppers_robin_eggs	hershey	chocolate	40	180	50	5	5	0	65	34	0	28	0.5	sugar
id_23	twizzlers	hershey	liquorice	40	140	5	0.5	0	0	85	32	0	17	0.5	syrup
id_24	nerds	nestle	sugar	15	60	0	0	0	0	0	14	0	14	0	dextrose
id_25	sour_patch_watermelon	sour_patch	sour	40	150	0	0	0	0	25	37	0	26	0	sugar
id_26	crispy_mms	mars	chocolate	42	200	70	7	4.5	5	65	31	1	25	2	chocolate
id_27	snickers_egg	mars	chocolate	31.2	160	80	9	5	10	55	18	1	17	2	chocolate
id_28	swedish_fish_assorted	sour_patch	gummi	42	150	0	0	0	0	30	38	0	31	0	sugar
id_29	sour_skittles	wrigley	sugar	40	160	15	1.5	1.5	0	10	37	0	28	0	sugar
id_30	rainbow_sour_stripes	target	sour	40	160	15	1.5	1	0	0	34	0	24	1	sugar
id_31	peanut_mms	mars	peanut_butter	42	200	100	11	4.5	5	20	26	1	22	4	chocolate
id_32	baby_ruth	nestle	chocolate	45	210	80	9	5	0	110	30	0.5	25	2	sugar
id_33	junior_mints	tootsie_roll	chocolate	40	170	30	3	2.5	0	30	35	1	32	1	sugar
id_34	marshmallow_bunnies	just_born	sugar	32	110	0	0	0	0	10	28	0	26	1	sugar
id_35	fave_reds_starburst	wrigley	jelly_bean	40	140	0	0	0	0	0	34	0	27	0	sugar
id_36	reeses_peanut_butter_eggs	hershey	peanut_butter	38	200	100	12	6	2.5	80	22	1	20	3	chocolate
id_37	butterfinger	nestle	chocolate	40	180	70	8	4	0	80	29	0.5	18	2	syrup
id_38	milk_chocolate	nestle	chocolate	40	200	100	11	7	5	20	26	0.5	24	2	chocolate
id_39	special_dark	hershey	chocolate	43	210	110	13	7	5	35	26	2	22	3	sugar
id_40	mr_goodbar	hershey	chocolate	43	210	110	13	7	5	35	26	2	22	3	sugar
id_41	snickers	mars	chocolate	34	160	70	8	3	0	80	21	1	18	3	chocolate
id_42	twix	mars	chocolate	16	80	35	4	2	0	30	11	0	8	1	chocolate
id_43	marshmallow_chicks	just_born	sugar	42	140	0	0	0	0	15	36	0	34	1	sugar
id_44	marshmallow_bunnies	just_born	sugar	32	110	0	0	0	0	10	28	0	26	1	sugar
id_45	whoppers	hershey	chocolate	41	190	60	7	7	0	95	31	0	24	0.5	sugar
id_46	twizzlers_nibs	hershey	liquorice	40	130	10	1	0.5	0	180	30	0	17	1	syrup
id_47	swedish_fish	sour_patch	gummi	42	150	0	0	0	0	30	38	0	31	0	sugar
id_48	dots	tootsie_roll	gummi	40	130	0	0	0	0	15	33	0	21	0	syrup
id_49	twizzler_nibs	hershey	liquorice	40	140	10	1	0.5	0	65	32	0	19	1	syrup
id_50	jel_bunnies	brachs	gummi	43	150	0	0	0	0	5	37	0	27	0	syrup
id_51	gummy_sharks	nice	gummi	43	140	0	0	0	0	20	33	0	18	2	syrup
id_52	good_and_plenty	hershey	liquorice	40	140	0	0	0	0	120	35	0	25	0.5	sugar
id_53	mike_and_ike	just_born	sugar	40	140	0	0	0	0	30	36	0	25	0	sugar
id_54	sour_patch_kids	sour_patch	sour	40	150	0	0	0	0	25	37	0	26	0	sugar
id_55	sour_strips	target	sour	40	160	15	1.5	1	0	0	34	0	24	1	sugar
id_56	kisses	hershey	chocolate	41	200	100	12	7	10	35	25	1	23	3	chocolate
id_57	krackel	hershey	chocolate	43	210	110	13	7	5	35	26	2	22	3	sugar
id_58	reester_bunnies	hershey	peanut_butter	34	170	90	11	5	2.5	65	20	1	18	3	chocolate
id_59	marshmallow_chicks	just_born	sugar	42	140	0	0	0	0	15	36	0	34	1	sugar
id_60	happy_cola	haribo	gummi	40	130	0	0	0	0	0	29	0	17	3	syrup
id_61	mms_original	mars	chocolate	42	200	70	8	5	5	30	31	1	28	2	chocolate
id_62	smarties	smarties	sugar	7	25	0	0	0	0	0	6	0	6	0	dextrose
id_63	soft_eating_liquorice	darrell_lea	liquorice	37	130	10	1	0.5	0	15	28	0	16	1	sugar
id_64	tropical_wild_berry_skittles	wrigley	sugar	40	160	15	1.5	1.5	0	10	37	0	29	0	sugar
id_65	sour_gold_bears	haribo	gummi	41	150	0	0	0	0	15	34	0	22	3	syrup
id_66	peanut_mms	mars	chocolate	42	220	100	11	4.5	5	20	26	1	22	4	chocolate
id_67	extreme_bites	airheads	sour	40	140	0	0	0	0	0	34	0	24	0	sugar
id_68	crunch	nestle	chocolate	40	200	90	10	6	5	60	27	0.5	22	2	chocolate
id_69	milky_way	mars	chocolate	34	160	50	6	4.5	10	45	24	0	21	1	chocolate
id_70	marshmallow_eggs	just_born	sugar	32	110	0	0	0	0	10	28	0	26	1	sugar
id_71	tropical_starburst	wrigley	jelly_bean	40	140	0	0	0	0	0	34	0	27	0	sugar
id_72	reeses_miniatures	hershey	peanut_butter	44	220	110	13	5	2.5	130	26	1	23	4	chocolate
id_73	reese_peanut_butter_eggs_large	hershey	peanut_butter	34	170	90	10	3	0	135	18	1	16	4	peanuts
id_74	original_starburst	wrigley	jelly_bean	40	140	0	0	0	0	0	34	0	27	0	sugar
id_75	marshmallow_chicks	just_born	sugar	42	140	0	0	0	0	15	34	0	32	1	sugar
